open_time,open,high,low,close,volume,variacao_percentual,mm_3,mm_6,mm_12
2019-02-01,106.47,166.0,101.21,135.34,12685474.00855,27.15144682450208,124.40999999999998,153.105,310.73833333333334
2019-03-01,135.32,145.89,122.6,141.38,8362024.665,4.462834343135791,127.71999999999998,137.845,289.6933333333333
2019-04-01,141.41,185.87,139.57,161.83,12829462.34072,14.464563587494705,146.1833333333333,131.69500000000002,247.28083333333336
2019-05-01,161.85,288.62,157.55,267.9,18976826.89464,65.54408947661123,190.36999999999998,157.39,221.455
2019-06-01,267.9,366.8,226.56,292.7,12433954.40436,9.257185516983956,240.80999999999995,184.265,208.00583333333336
2019-07-01,292.89,318.19,191.84,218.42,11176590.65074,-25.377519644687396,259.67333333333335,202.9283333333333,190.18916666666667
2019-08-01,218.42,239.15,163.61,171.57,6963710.33197,-21.44950096145042,227.5633333333333,208.96666666666667,181.03583333333333
2019-09-01,171.52,223.94,150.03,180.85,13648082.36985,5.408871014746164,190.27999999999997,215.545,176.69499999999996
2019-10-01,180.89,197.74,153.45,182.18,14106069.50932,0.7354160906828833,178.19999999999996,218.93666666666664,175.31583333333333
2019-11-01,182.19,195.09,131.45,151.37,10175750.16427,-16.911845427599083,171.4666666666666,199.515,178.4525
2019-12-01,151.43,152.49,116.26,129.16,8781835.62473,-14.672656404835838,154.23666666666665,172.25833333333333,178.26166666666666
2020-01-01,129.16,187.0,125.88,179.99,12817879.25715,39.35428925363891,153.50666666666666,165.85333333333332,184.39083333333335
2020-02-01,179.94,288.41,179.1,217.21,21153996.1458,20.67892660703372,175.4533333333333,173.46,191.21333333333334
2020-03-01,217.29,251.93,86.0,132.72,40100166.98948,-38.89784079922656,176.64,165.43833333333336,190.49166666666667
2020-04-01,132.72,227.3,128.62,206.08,30622487.94288,55.27426160337554,185.33666666666667,169.42166666666665,194.17916666666665
2020-05-01,206.07,247.0,176.0,231.57,24717586.81853,12.368982919254655,190.1233333333333,182.78833333333333,191.15166666666667
